demographicid,household,entryhouseholdid,demographiccode,relationhhh,individualage,individualgender,individualeducation,individualedlevel,individualenrolled,householdhead,individualunwell,individualdaysunwell,individuallostdays
60736,11166,84,1,0,49,1,SD,,0,1,1,3,0
60737,11166,84,2,1,43,2,TIDAK SEKOLAH,,0,0,1,3,3
60738,11166,84,3,2,29,1,SD,,0,0,0,998,998
60739,11166,84,4,2,26,2,SMA,,0,0,0,998,998
60740,11166,84,5,2,23,2,SMA,,0,0,1,10,10
60741,11166,84,6,2,20,1,SMA,,1,0,0,998,998
60742,11166,84,7,2,17,2,SMA,,0,0,0,998,998
60743,11167,96,1,0,18,1,SMP,,0,1,0,998,998
60744,11167,96,2,1,21,2,SMA,,0,0,0,998,998
60745,11167,96,3,2,1,2,998,,0,0,0,998,998
60746,11167,96,4,3,50,2,SD,,0,0,0,998,998
60747,11167,96,5,3,58,1,SD,,0,0,0,998,998
60748,11168,95,1,0,48,1,SD,,0,1,0,998,998
60749,11168,95,2,1,47,2,SMP,,0,0,0,998,998
60750,11168,95,3,2,18,1,SMP,,1,0,0,998,998
60751,11168,95,4,2,17,1,SD,,1,0,0,998,998
60752,11168,95,5,2,7,2,TK,,1,0,0,998,998
60753,11169,92,1,0,43,1,SMP,,0,1,0,998,998
60754,11169,92,2,1,37,2,SMP,,0,0,0,998,998
60755,11169,92,3,2,22,1,SMA,,1,0,0,998,998
60756,11169,92,4,2,18,2,SMP,,1,0,0,998,998
60757,11169,92,5,2,5,1,TK,,1,0,0,998,998
60758,11170,87,1,0,48,1,SD,,0,1,0,998,998
60759,11170,87,2,1,39,2,SD,,0,0,0,998,998
60760,11170,87,3,2,19,1,SMA,,0,0,0,998,998
60761,11170,87,4,2,17,2,SMA,,1,0,0,998,998
60762,11170,87,5,2,8,1,SD,,1,0,0,998,998
60763,11171,93,1,0,50,1,SMP,,0,1,1,20,20
60764,11171,93,2,1,46,2,SD,,0,0,1,25,20
60765,11171,93,3,2,20,1,SMP,,0,0,1,7,0
60766,11171,93,4,2,18,2,SMP,,0,0,0,998,998
60767,11171,93,5,2,16,2,SMP,,0,0,0,998,998
60768,11171,93,6,2,14,2,SD,,1,0,0,998,998
