habitatid,fgd,habitatcode,habitattypel,habitattype
76,21,1,Terumbu karang,Coral reef
77,21,2,Mangrove/Mangi-mangi,Mangrove
78,21,3,"Padang Lamun
(Seagrass)",Seagrass
79,22,1,Terumbu karang,Coral reef
80,22,2,Mangrove/Mangi-mangi,Mangrove
81,22,3,"Padang Lamun
(Seagrass)",Seagrass
82,22,4,Padang Pasir,Seagrass
83,23,1,Terumbu karang,Coral reef
84,23,2,Mangrove/Mangi-mangi,Mangrove
85,23,3,"Padang Lamun
(Seagrass)",Seagrass
86,24,1,"Lamun
(Seagrass)",Seagrass
87,24,2,Terumbu Karang ,Coral reef
88,24,3,Mangrove/Mangi-mangi,Mangrove
89,25,1,Mangrove/mangi-mangi,Mangrove
90,25,2,"Lamun
(Seagrass)",Seagrass
91,25,3,Terumbu Karang,Coral reef
315,93,1,Rumput laut,998
316,93,2,Batu Karang ,998
317,93,3,998,998
318,93,4,998,998
319,93,5,998,998
320,94,1,Mangrov,998
321,95,1,Karang,998
322,95,2,Pasir,998
323,95,3,Manggrove,998
324,95,4,Laut Dalam,998
325,95,5,Lamun,998
326,96,1,Mangrove,998
327,96,2,Batu Karang,998
328,96,3,Lamun,998
329,97,1,Bakau,998
330,97,2,Batu gunung,998
331,98,1,Pasir,998
332,98,2,Karang,998
333,98,3,Lamun,998
334,98,4,Manggove,998
335,98,5,"Tempat-tempat Peneluran Ikan, Penyu, dan Lobster",998
336,99,1,Mangrove,998
337,99,2,Batu Karang,998
338,99,3,Lamun,998
339,99,4,Jamur Laut (Danlow),998
340,100,1,Terumbu Karang,998
341,100,2,Pasir,998
342,100,3,Manggrove,998
343,100,4,Lamun,998
344,100,5,Laut Dalam,998
345,101,1,Terumbu Karang,998
346,101,2,Lamun,998
347,101,3,Pasir,998
348,101,4,Manggove,998
349,101,5,Laut Dalam,998
350,102,1,Manggrove,998
351,102,2,Terumbu Karang,998
352,102,3,Lamun,998
353,102,4,Pasir,998
354,103,1,Terumbu Karang,998
355,103,2,Lamun,998
356,103,3,Pasir,998
357,103,4,Laut Dalam,998
358,104,1,Terumbu Karang,998
359,104,2,Manggrove,998
360,104,3,Pasir,998
361,104,4,Lamun,998
362,104,5,Laut Dalam,998
363,105,1,Terumbu Karang,998
364,105,2,Manggrove,998
365,105,3,Lamun,998
366,105,4,Pasir,998
367,105,5,Laut Dalam,998
368,106,1,Karang,998
369,106,2,Pasir,998
370,106,3,Lamun,998
371,106,4,Manggrove,998
372,107,1,Karang,998
373,107,2,Pasir,998
374,107,3,Lamun,998
375,107,4,Manggrove,998
376,108,1,Karang,998
377,108,2,Pasir,998
378,108,3,Lamun,998
379,108,4,Manggrove,998
380,108,5,Lumpur,998
