habrulesid,kii,habnamel,habname,habrule,habspecificrulel,habspecificrule
99,68,Terumbu Karang,,0,998,992
100,68,Mangrove/Mangi-mangi,,0,998,992
101,68,"Padang Lamun
(Seagrass)",,0,998,992
102,69,Terumbu Karang,,1,998,992
103,69,Mangrove/Mangi-mangi,,1,998,992
104,69,"Padang Lamun
(Seagrass)",,1,998,992
105,70,Mangrove,,0,998,992
106,70,"Lamun
(mangi-mangi",,0,998,992
107,70,Terumbu Karang,,1,Larangan menggunakan bom,992
108,71,Terumbu Karang,,0,998,992
109,71,Mangrove/Mangi-mangi,,0,998,992
110,71,"Padang Lamun
(Seagrass)",,0,998,992
111,71,Padang pasir,,0,998,992
112,72,Terumbu Karang,,1,998,992
113,72,Mangrove/Mangi-mangi,,1,998,992
114,72,"Padang Lamun
(Seagrass)",,0,998,992
115,72,Padang pasir,,0,998,992
116,73,Terumbu Karang,,1,Peraturan Daerah tentang karang No.8 tahun 2001,992
117,73,Mangrove/Mangi-mangi,,0,998,992
118,73,"Padang Lamun
(Seagrass)",,0,998,992
119,73,Padang pasir,,0,998,992
120,74,Terumbu Karang,,0,998,992
121,74,Mangrove/Mangi-mangi,,0,998,992
122,74,"Padang Lamun
(Seagrass)",,0,998,992
123,75,"Lamun
(Seagrass)",,0,998,992
124,75,Terumbu karang,,1,Larangan menggunakan bom dan potasium (Peraturan Daerah & Peraturan Kampung),992
125,75,Mangrove/Mangi-mangi,,1,Larangan menebang mangrove hanya boleh mengambil ranting,992
126,76,"Lamun
(Seagrass)",,997,998,992
127,76,Terumbu karang,,0,998,992
128,76,Mangrove/Mangi-mangi,,997,998,992
129,77,"Lamun
(Seagrass)",,0,998,992
130,77,Terumbu karang,,1,998,992
131,77,Mangrove/Mangi-mangi,,1,998,992
132,78,"Lamun
(Seagrass)",,0,998,992
133,78,Terumbu karang,,1,998,992
134,78,Mangrove/Mangi-mangi,,0,998,992
135,79,Mangrove/mangi-mangi,,0,998,992
136,79,"Lamun
(Seagrass)",,0,998,992
137,79,Terumbu Karang,,0,998,992
138,80,Mangrove/mangi-mangi,,0,998,992
139,80,"Lamun
(Seagrass)",,0,998,992
140,80,Terumbu Karang,,1,Peraturan Daerah (Perda),992
141,81,Mangrove/mangi-mangi,,0,998,992
142,81,"Lamun
(Seagrass)",,1,998,992
143,81,Terumbu Karang,,1,Larangan membuang jaring di atas terumbu karang,992
494,191,Agar-agar,,0,998,992
495,191,Lamun,,0,998,992
496,191,Batu Karang,,0,998,992
497,192,"Agar-agar atau 
Rumput laut",,0,998,992
498,192,Lamun,,0,998,992
499,192,Batu Karang,,0,998,992
500,193,"Agar-agar atau 
Rumput laut",,0,998,992
501,193,Lamun,,1,995,992
502,193,Batu Karang,,0,998,992
503,194,Mangrove,,1,995,992
504,195,Terumbu Karang,,1,Tidak Boleh diambil untuk bahan bangunan,992
505,195,Manggrove,,1,Tidak Bole dijadikan bahan kayu Bakar,992
506,195,997,,997,997,992
507,196,Mangrove,,1,995,992
508,196,Batu Karang,,1,995,992
509,196,Lamun,,0,998,992
510,197,Bakau,,1,995,992
511,198,Bakau,,1,9959,992
512,199,Mangrove,,1,Aturan Dinas Kehutanan Raja Ampat,992
513,199,Terumbu Karang,,1,Aturan Pemerintah,992
514,200,Terumbu Karang,,1,Tidak boleh Merusak Karang,992
515,200,Mangggrove,,1,Dinas Kehutanan (tidak boleh menebang Manggrove,992
516,202,Mangrove,,998,998,992
517,202,Batu Karang,,998,998,992
518,202,Lamun,,998,998,992
519,202,Jamur Laut,,0,998,992
520,203,Karang ,,0,998,992
521,203,Habitat Bia Garo,,0,998,992
522,204,Terumbu Karang,,1,Sasi,992
523,204,Lamun,,1,Sasi ,992
524,204,Manggrove,,1,Sasi ,992
525,204,Pasir,,1,Sasi,992
526,205,Terumbu Karang,,1,Sasi Gereja,992
527,205,Manggrove,,1,Sasi Gereja,992
528,205,Lamun,,1,Sasi Gereja,992
529,206,Terumbu Karang,,1,Peraturan Pemerintah daerah,992
530,206,Manggrove,,997,Lamun,992
531,206,997,,997,997,992
532,206,997,,997,997,992
533,206,997,,997,997,992
534,207,Terumbu Karang,,0,998,992
535,208,Terumbu Karang,,1,Sasi,992
536,208,Manggrove,,1,Sasi,992
537,208,Pasir,,1,998,992
538,209,Karang,,0,998,992
539,209,Pasir,,0,998,992
540,209,Lamun,,0,998,992
541,209,Manggrove,,0,998,992
542,210,Karang,,0,998,992
543,210,Pasir,,0,998,992
544,210,Lamun,,0,998,992
545,210,Manggrove,,0,998,992
550,212,Karang,,0,998,992
551,212,Pasir,,0,998,992
552,212,Lamun,,0,998,992
553,212,Manggrove,,0,998,992
554,213,Karang,,0,998,992
555,213,Pasir,,0,998,992
556,213,Lamun,,0,998,992
557,213,Manggrove,,0,998,992
558,214,Karang,,0,998,992
559,214,Pasir,,0,998,992
560,214,Lamun,,0,998,992
561,214,Manggrove,,0,998,992
562,214,Lumpur,,0,998,992
563,215,Karang,,0,998,992
564,215,Pasir,,0,998,992
565,215,Lamun,,0,998,992
566,215,Manggrove,,0,998,992
567,215,Lumpur,,0,998,992
568,216,Karang,,0,998,992
569,216,Pasir,,0,998,992
570,216,Lamun,,0,998,992
571,216,Manggrove,,0,998,992
572,216,Lumpur,,0,998,992
