householdid,settlement,kkcode,primaryinterviewer,secondaryinterviewer,fieldcoordinator,yearmonitoring,interviewdate,interviewstart,interviewend,interviewlength,surveyversionnumber,usualfish,householdsize,yearsresident,primarymarketname,secondarymarketname,timemarket,timesecondarymarket,paternalethnicity,maternalethnicity,religion,primarylivelihood,primarylivelihoodyear,secondarylivelihood,secondarylivelihoodyear,tertiarylivelihood,tertiarylivelihoodyear,freqfishtime,freqsalefish,percentincomefish,freqeatfish,percentproteinfish,majorfishtechnique,primaryfishtechnique,secondaryfishtechnique,tertiaryfishtechnique,lessproductivedaysfishing,poorcatch,poorcatchunits,poorcatchunitscategory,poorfishincome,poorfishincomeunits,moreproductivedaysfishing,goodcatch,goodcatchunits,goodcatchunitscategory,goodfishincome,goodfishincomeunits,economicstatustrend,economicstatusreasonl,economicstatusreason,economicadjustreasonl,economicadjustreason,assetcar,assetcarobtain,assetcaryear,assetcarassistance,assetcarassistanceother,assettruck,assettruckobtain,assettruckyear,assettruckassistance,assettruckassistanceother,assetcartruck,assetbicycle,assetbicycleobtain,assetbicycleyear,assetbicycleassistance,assetbicycleassistanceother,assetmotorcycle,assetmotorcycleobtain,assetmotorcycleyear,assetmotorcycleassistance,assetmotorcycleassistanceother,assetboatnomotor,assetboatnomotorobtain,assetboatnomotoryear,assetboatnomotorassistance,assetboatnomotorassistanceother,assetboatoutboard,assetboatoutboardobtain,assetboatoutboardyear,assetboatoutboardassistance,assetboatoutboardassistanceother,assetboatinboard,assetboatinboardobtain,assetboatinboardyear,assetboatinboardassistance,assetboatinboardassistanceother,assetlandlinephone,assetlandlinephoneobtain,assetlandlinephoneyear,assetlandlinephoneassistance,assetlandlinephoneassistanceother,assetcellphone,assetcellphoneobtain,assetcellphoneyear,assetcellphoneassistance,assetcellphoneassistanceother,assetphonecombined,assettv,assettvobtain,assettvyear,assettvassistance,assettvassistanceother,assetradio,assetradioobtain,assetradioyear,assetradioassistance,assetradioassistanceother,assetstereo,assetstereoobtain,assetstereoyear,assetstereoassistance,assetstereoassistanceother,assetcd,assetcdobtain,assetcdyear,assetcdassistance,assetcdassistanceother,assetdvd,assetdvdobtain,assetdvdyear,assetdvdassistance,assetdvdassistanceother,assetentertain,assetsatellite,assetsatelliteobtain,assetsatelliteyear,assetsatelliteassistance,assetsatelliteassistanceother,assetgenerator,assetgeneratorobtain,assetgeneratoryear,assetgeneratorassistance,assetgeneratorassistanceother,cookingfuel,householddeath,householdbirth,fsnotenough,fsdidnotlast,fsbalanceddiet,fsadultskip,fsfreqadultskip,fseatless,fshungry,fschildportion,fslowcostfood,fschildskip,fsfreqchildskip,fsnomealchild,rightsaccess,rightsharvest,rightsmanage,rightsexclude,rightstransfer,socialconflict,marinegroup,numbermarinegroup,othergroup,numberothergroup,votedistrict,votenational,numlocalthreat,numglobalthreat,numlocalaction,numglobalaction,placehappy,placefavourite,placemiss,placebest,placefishhere,placebemyself,primarylivelihoodcovid,secondarylivelihoodcovid,tertiarylivelihoodcovid,freqfishtimecovid,freqsalefishcovid,percentincomefishcovid,freqeatfishcovid,percentproteinfishcovid,majorfishtechniquecovid,poorfishincomecovid,goodfishincomecovid,fsnotenoughcovid,fsdidnotlastcovid,fsbalanceddietcovid,fseatlesscovid,fshungrycovid,fschildportioncovid,fslowcostfoodcovid,fsfreqchildskipcovid,fsnomealchildcovid,marinegroupcovid,othergroupcovid,anyotherinfo,willingparticipant,notes,dataentrycomplete,datacheckcomplete,dataentryid,datacheckid,worstdaycatch,worstdaycatchunits,bestdaycatch,bestdaycatchunits,averageincome,averageincomeunits,worstincome,worstincomeunits,bestincome,bestincomeunits,entrycomputeridentifier,entryhouseholdid,pilotreferencecode,baseline_t2_pairs
11166,248,3,119,112,120,2019,9/10/2019,10:49,11:05,0:16,8,BUKAN NELAYAN,,19,PASAR SENTRAL,998,1,998,BUTON,BUTON,2,1,993,998,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,KARENA TAMBAHAN PENGHASILAN,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,2,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,5,993,993,993,993,5,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,2,3,0,998,0,0,0,2,0,998,3,997,0,997,997,997,997,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,112,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,84,,
11167,248,44,117,116,120,2019,9/10/2019,15:03,15:21,0:18,8,TIDAK ADA,,1,PASAR SENTRAL,998,0.5,998,BUTON,BUTON,2,996,993,998,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,PENGHASILAN HANYA MENCUKUPI  KEBUTUHAN SEHARI HARI,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,4,993,993,993,993,4,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,3,2,0,998,0,0,0,3,0,998,3,997,997,0,0,0,3,0,,0,,1,1,0,0,0,0,997,997,997,997,998,998,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,116,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,96,,
11168,248,48,115,117,120,2019,9/10/2019,14:42,14:54,0:12,8,TIDAK,,47,PASAR SENTREAL,998,0.5,998,BUTUN,BUTON,2,996,993,998,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,TIDAK ADA PENINGKATAN HASIL PEKERJAAN,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,2,993,993,993,993,2,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,3,2,0,998,0,0,0,2,0,998,3,0,0,0,0,0,997,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,117,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,95,,
11169,248,114,117,115,120,2019,9/10/2019,11:15,11:27,0:12,8,TIDAK,,43,PASAR SENTRAL,TIDAK ADA,0.5,998,BUTON,BUTON,2,1,993,996,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,HASIL KEBUN HANYA UNTUK KEBUTUHAN SEHARI HARI,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,2,993,993,993,993,2,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,2,0,0,2,3,2,0,998,0,0,0,3,0,998,3,997,997,0,0,0,997,0,,0,,1,1,0,0,0,0,997,997,997,3,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,115,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,92,,
11170,248,170,119,112,120,2019,9/10/2019,14:08,14:34,0:26,8,PERAIRAN LONGA,,20,PASAR SENTRAL,998,0.5,998,BUTON,BUTON,2,3,993,998,993,998,993,5,4,4,5,4,5,3,998,998,40,1,996,996,900000,IDR,240,4,ekor,4,5000000,IDR,3,PENGHASILAN DI LAUT TIDAK MENENTU,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,2,993,993,993,993,0,993,993,993,993,4,993,993,993,993,4,995,993,993,993,993,0,993,993,993,993,2,993,993,993,993,0,993,993,993,993,0,993,993,993,993,2,1,993,993,993,993,0,993,993,993,993,3,0,0,3,3,2,0,998,0,0,0,2,0,998,3,997,1,0,0,0,3,0,,0,,1,1,0,0,0,0,4,4,4,4,4,4,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,KEBANYAKAN MASYARAKAT DI LONGA BELUM MENGETAHUI TENTANG KKP.,1,,TRUE,TRUE,112,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,87,,
11171,248,180,117,115,120,2019,9/10/2019,11:52,12:46,0:54,8,PERAIRAN RUNDUMA,,19,SENTRAL,TIDAK ADA,0.583,998,BUTON,BUTON,2,3,993,998,993,998,993,5,5,4,5,4,5,3,1,998,30,1,996,996,500000,IDR,210,3,996,996,9000000,IDR,2,MENURUNYA HARGA IKAN DAN AKIBAT KAPAL PELINGKAR,,993,993,1,993,993,993,993,0,993,993,993,993,1,1,993,993,993,993,4,993,993,993,993,0,993,993,993,993,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,6,993,993,993,993,6,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,2,0,0,3,3,2,0,998,0,0,0,2,0,998,3,997,1,0,0,0,2,0,,0,,1,1,0,0,0,0,3,3,3,3,3,3,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,BANYAK SEKALI KAPAL ILEGAL YANG MENGHAMBIL HASIL DARI ROMPONG NELAYAN.. SARAN HENTIKAN PENANGKAPAN ILEGAL,1,,TRUE,TRUE,115,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,93,,
11172,248,182,119,112,120,2019,9/10/2019,13:29,13:42,0:13,8,BUKAN NELAYAN,,65,PASAR SENTRAL,998,1,998,BUTON,BUTON,2,1,993,998,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,PENGHASILAN TETAP,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,2,993,993,993,993,2,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,2,2,0,998,0,0,0,2,0,998,3,0,0,0,0,0,997,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,112,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,85,,
11173,248,215,119,112,120,2019,9/10/2019,13:50,14:01,0:11,8,BUKAN NELAYAN,,61,PASAR SENTRAL,998,0.5,998,BUTON,BUTON,2,1,993,996,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,PENGHASILAN TETAP,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,1,993,993,993,993,1,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,1,993,993,993,993,0,993,993,993,993,3,0,0,2,2,2,0,998,0,0,0,2,0,998,3,0,0,0,0,0,997,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,112,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,86,,
11174,248,238,112,119,120,2019,9/10/2019,9:35,9:47,0:12,8,BUKAN NELAYAN,,23,PASAR SENTRAL,998,0.5,998,BUTON,BUTON,2,996,993,998,993,998,993,1,998,994,5,4,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,3,KARENA PENGAHASILANNYA TETAP,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,1,993,993,993,993,1,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,2,2,1,2,1,1,1,2,0,998,3,998,0,0,0,0,3,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,119,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,81,,
11175,248,247,117,115,120,2019,9/10/2019,10:14,10:27,0:13,8,TIDAK ADA,,50,PASAR SENTRAL,TIDAK ADA,0.5,998,BUTON,BUTON,2,1,993,998,993,998,993,1,998,994,5,3,994,994,994,994,994,994,994,994,994,IDR,994,994,994,994,994,IDR,2,TIDAK SANGGUP UNTUK BEKERJA LAGI,,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,1,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,1,993,993,993,993,1,993,993,993,993,2,995,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,993,993,993,993,0,0,993,993,993,993,0,993,993,993,993,3,0,0,2,3,2,0,998,0,0,0,2,0,998,3,997,997,0,999,0,997,0,,0,,1,1,0,0,0,0,997,997,997,997,997,997,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,TIDAK ADA,1,,TRUE,TRUE,115,,,,,,,,,,,,WAKATOBI_2019_post-QAQC_2020_0313,90,,
