ruleid,fgd,rulecode,rulel,rule
93,21,1,"SASI, yaitu orang-orang yang mempunyai hak wilayah Itempat). Mereka bertugas/berhak menutup dan membuka SASI. SASI biasa ditutup pada musim angin selatan dan dibuka saat musin angin barat.",
94,22,1,"Aturan KKLD. Dilarang menggunakan bom, potasium, akar bore/tuba, kompresor, jaring pukat harimau di seluruh wilayah KKLD termasuk wilayah kampung Kapatcol, dimulai saat KKLD ada.",
95,22,2,SASI di Bobotlap. Aturan SASI merupakan aturan gereja artinya bagi orang yang melanggar  maka melanggar hukum Tuhan. SASI ini merupakan usulan dari ibu-ibu rumahtangga dan akan di buka 4 bulan lagi.  SASI ini berlaku untuk seluruh masyarakat baik yang berasal dari Kapatcol maupun daerah lain. SASI ini dimulai tahun 2010. ,
96,23,1,"SASI. Menutup hasil laut selama 6 bulan dan berlokasi di seluruh  wilayah Kareyepop, Yellu, Fafanlap dengan berpatokan terhadap alam. Saat musim angin selatan SASI dilakukan dan saat angin Barat/teduh SASI dibuka. Penentuan SASI dibuka/tutup dilakukan oleh kepala adat.",
97,24,1,SASI; ditetapkan oleh masyarakat Adat; lokasi Pulau Jam; ditetapkan tanggal 17 Maret 2011; Areal ditutup selama 2 Tahun,
98,24,2,Tidak boleh menangkap ikan di MER; kontrak MER untuk 6-7 tahun; setiap 2 tahun MER membuka daerahnya selama pembukaan SASI untuk penangkapan ikan selama 2 hari,
99,24,3,Perda 6 Oktober 2010: dilarang  menangkap hiu dan menggunakan kompresor; di daerah Raja Ampat oleh pemerintah Kabupaten Raja Ampat. ,
100,25,1,Orang yang datang ke kampung untuk mengambil hasil laut harus memberikan retribusi dan jumlahnya tergantung dari jenis usaha dan diberikan melalui tingkat distrik.,
101,25,2,"Kegiatan memancing hanya boleh menggunakan alat-alat yang tidak merusak seperti nelon, kalawai, panah. Dilarang menggunakan dopis/bahan peledak",
356,93,1,"Dinas perikanan dan kelautan kabupaten,peraturan perikanan berkelanjutan
Tidak boleh pakai BOM,potas,jaring,akar tuba
",
357,93,2,Peraturan kampung sesuaikan dengan aturan kabupaten,
358,94,1,"Adat dibuat oleh tokoh-tokoh adat dikampung yang isinya
-Pada saat angin timur mau jalan 6 bulan laut ditutup
-Setelah barat baru mulai buka(Tergantung hasil)",
359,95,1,"Pemda atau larangan untuk Penangkapan Penyu, Lumba-Lumba, Hiu, Napoleon /2011/ nelum ada Sosialisasi Sanksi Penjara dan Denda ",
360,95,2,Adat atau Sasi Laut KKLD Misool dan dari dulu 6 Bulan sekali baru buka sasi atau kerja angkat batu untuk Masjid,
361,96,1,"Peraturan oleh adat: Kalau melanggar kena sangsi secara alam
",
362,96,2,Peraturan Gereja: Tidak boleh diambil sebelum di buka sasi,
363,96,3,Pemerintah: Berbuat kesalahan diberikan hukuman. Hukuman tergantung pemerintah,
364,97,1,Gereja Memberi Sanksi dibawah ke Gereja dan diDoakan,
365,97,2,Adat Denda (Piring Adat),
366,97,3,"Pemerintah ""bayar Uang 15 juta dan dipenjarakan 15 tahun"", kalau BOM( aturan pemerintah kampung belum ada)",
367,98,1,Agama: Sasi atau KKLD/  2010. ketika ada pelanggaran diberi sanksi adat,
368,98,2,Pelanggaran masak Zona Inti di KKLD Misool/2012 di Yellu,
369,98,3,Sasi Teripang/2010 di Tanjung Lamosun ket.,
