settlementid,mpa,name,treatment,districtname,districtcode,marketname1,marketname2,zone
1,1,Araway,1,TELUK MAYALIBIT,9108041000,,,
2,1,Beo,1,TELUK MAYALIBIT,9108041000,,,
3,1,Go,1,TELUK MAYALIBIT,9108041000,,,
4,1,Kabilol,1,TELUK MAYALIBIT,9108041000,,,
12,1,Kabui,0,MEOS MANSAR,9108042000,,,
5,1,Kalikoto,1,TELUK MAYALIBIT,9108041000,,,
13,1,Kapidiri,0,WAIGEO UTARA,9108060000,,,
6,1,Lopintol,1,TELUK MAYALIBIT,9108041000,,,
7,1,Mumes,1,TELUK MAYALIBIT,9108041000,,,
8,1,Waifoi,1,TELUK MAYALIBIT,9108041000,,,
14,1,Waiyai,0,WAIGEO SELATAN,9108040000,,,
9,1,Warsamdin,1,TELUK MAYALIBIT,9108041000,,,
10,1,Wenook/Waremak,1,TELUK MAYALIBIT,9108041000,,,
11,1,Yensner,1,WAIGEO TIMUR,9108061000,,,
104,2,Ambuni,1,KURI WAMESA,9103022000,,,
15,2,Bawei,1,TELUK UMAR,9104061000,,,
105,2,Dunsner,1,KURI WAMESA,9103022000,,,
16,2,Goni,1,TELUK UMAR,9104061000,,,
110,2,Iseren,1,RUMBERPON,9103070000,,,
17,2,Masipawa,0,NAPAN,9104090000,,,
18,2,Masyarah,0,ORKERI,9409011000,,,
106,2,Nanimori,1,KURI WAMESA,9103022000,,,
20,2,Napan,0,NAPAN,9104090000,,,
21,2,Napan Yaur,1,TELUK UMAR,9104061000,,,
22,2,Noridwar,1,ROSWAR,9103061000,,,
23,2,Pakreki,0,ORKERI,9409011000,,,
107,2,Rasiei,1,RASIEY,9103021000,,,
24,2,Rawar,0,ORKERI,9409011000,,,
26,2,Saribi,0,ORKERI,9409011000,,,
108,2,Sasirei,1,RASIEY,9103021000,,,
111,2,Senebuay,1,RUMBERPON,9103070000,,,
28,2,Supmander,0,ORKERI,9409011000,,,
27,2,Syeiwar,1,ROSWAR,9103061000,,,
109,2,Torey,1,RASIEY,9103021000,,,
29,2,Wansra/Wansa,0,ORKERI,9409011000,,,
25,2,Waprak/Saref,1,ROSWAR,9103061000,,,
30,2,Weinami,0,NAPAN,9104090000,,,
31,2,Weititindau,1,RUMBERPON,9103070000,,,
32,2,Yariyari,1,RUMBERPON,9103070000,,,
33,2,Yembepon,0,ORKERI,9409011000,,,
112,2,Yembikiri I,1,RUMBERPON,9103070000,,,
34,2,Yembikiri II,1,RUMBERPON,9103070000,,,
35,2,Yenbeba,0,ORKERI,9409011000,,,
36,2,Yeretuar,1,TELUK UMAR,9104061000,,,
37,2,Yomakan,1,RUMBERPON,9103070000,,,
38,2,Yomber,1,ROSWAR,9103061000,,,
81,3,Adijaya,1,BURUWAY,9102010000,,,
100,3,Antalisa,0,KARAS,9101051000,,,
93,3,Bamana,1,TELUK ETNA,9102040000,,,
114,3,Boiya,1,TELUK ETNA,9102040000,,,
84,3,Hia,1,BURUWAY,9102010000,,,
95,3,Kamaka,1,KAIMANA,9102030000,,,
82,3,Kambala,1,BURUWAY,9102010000,,,
86,3,Lobo,1,KAIMANA,9102030000,,,
85,3,Lumira,1,KAIMANA,9102030000,,,
88,3,Mai Mai,1,KAIMANA,9102030000,,,
101,3,Malakuli,0,KARAS,9101051000,,,
90,3,Marsi,1,KAIMANA,9102030000,,,
89,3,Murano,1,KAIMANA,9102030000,,,
87,3,Namatota,1,KAIMANA,9102030000,,,
115,3,Nariki,1,TELUK ETNA,9102040000,,,
113,3,Nusa Ulan,1,BURUWAY,9102010000,,,
94,3,Rururmo,1,TELUK ETNA,9102040000,,,
