zoneid,kii,zonetypel,zonetype,zonequantity,zoneorg,zonecoord
76,68,SASI,,3,1,3
77,69,SASI,,7,1,4
78,70,Zona Inti,,1,1,5
79,71,Zona Pelindungan atau SASI,,1,1,5
80,72,Zona SASI,,2,0,5
81,72,Zona Pariwisata,,5,0,5
82,73,Zona Inti,,2,998,998
83,73,Zona Pemanfaatan terbatas dan Budidaya,,0,998,998
84,73,Zona Ketahanan Pangan dan pariwisata,,4,998,998
85,73,Zona Tradisional,,12,998,998
86,73,Zona Alur,,1,998,998
87,74,SASI,,3,1,3
88,75,SASI,,1,1,1
89,75,Misool Echo Resort (MER),,1,1,3
90,76,SASI,,1,1,997
91,76,Misool Echo Resort (MER),,1,1,5
92,77,Pariwisata (MER),,1,1,997
93,77,SASI,,1,1,999
94,77,Budidaya (Perusahaan) Mutiara,,3,1,999
95,78,Budidaya Mutiara,,3,1,4
96,78,SASI,,1,1,4
97,78,Wisata,,1,1,4
98,79,995,,998,998,998
99,80,995,,998,998,998
100,81,995,,998,998,998
265,191,Zona Tabungan,,1,995,995
266,192,Zona Inti(Bang Ikan),,1,995,995
267,193,Zona Inti,,1,995,995
268,194,Zona Tutup Buka,,1,995,995
269,195,Zona Inti,,1,995,995
270,196,Sasi,,1,1,995
271,197,Zona Tabungan Ikan(Zona bersama 5 kampung),,1,995,995
272,198,Bang Teripang,,1,995,995
273,199,998,,998,998,995
274,200,Reef Masbuska,,1,995,995
275,201,Sasi,,1,1,995
276,202,Sasi Teripang,,1,995,995
277,203,Reef Merah,,995,995,995
278,204,Reef Fol,,0,995,995
279,205,Daerah Sasi,,1,995,995
280,206,998,,998,998,995
281,207,997,,997,997,995
282,208,"Sasi Hasil Laut (Teripang, Lola) ",,0,995,995
283,191,994,,,,995
284,192,Zona Pemanfaatan,,1,995,995
285,193,998,,998,998,995
286,194,"Zona Sasi(Teripang, lola)",,1,995,995
287,195,Zona Pemanfaatan Terbatas,,1,995,995
288,196,998,,,,995
289,197,"Zona tabungan 
Teripang",,1,995,995
290,198,Bang Tabungan,,1,995,995
291,199,998,,998,998,995
292,200,Pulau Pinang,,1,995,995
293,201,994,,,,995
294,202,Lola Teripang,,,,995
295,203,Reef Batugosok,,995,995,995
296,204,Reef Mas-mas Wolit,,0,995,995
297,205,995,,998,998,995
298,206,998,,998,998,995
299,207,997,,997,997,995
300,208,Sasi Hasil Hutan ,,0,995,995
301,191,994,,,,995
302,192,994,,,,995
303,193,994,,,,995
304,194,Zona Tabung,,1,995,995
305,195,Zona Pemanfaatan Tradisional,,1,995,995
306,196,997,,,,995
307,197,"Zona Tabungan 
Bakau",,1,995,995
308,198,Bakau,,,,995
309,199,994,,,,995
310,200,Banos,,1,995,995
311,201,997,,,,995
312,202,997,,,,995
313,203,Reef Pulau Panjang,,995,995,995
314,204,Reef Mayalit,,0,995,995
315,204,Reef Hajala,,0,995,995
316,204,Reef Misool Kate,,0,995,995
317,205,995,,995,995,995
318,206,995,,995,995,995
319,207,995,,995,995,995
320,208,995,,995,995,995
321,209,Zona Tangkap,,1,1,995
322,209,Zona Inti,,1,995,995
323,209,Zona Wisata,,1,995,995
324,210,Zona Inti,,1,1,995
325,210,Zona Tangkap,,1,995,995
326,210,Zona Wisata,,1,995,995
331,213,Pemanfaatan,,3,1,1
332,213,Zona Inti/Sasi,,1,1,5
333,213,Zona Tangkap,,3,995,995
334,213,Zona Budidaya,,1,995,995
335,214,Zona Budidaya,,3,1,995
336,214,Zona Inti,,1,995,995
337,214,Zona Tangkap,,1,995,995
338,215,Zona Dilindungi,,1,1,995
339,215,Zona Tangkap,,1,995,995
340,216,Zona Dilindungi,,1,1,995
341,216,Zona Tangkap,,1,995,995
