name,mpaid,country,wdpa_id,mpa_network,seascape,est_year,notes,boundary,size
Teluk Mayalibit MPA,1,360,,1,1,,,,
Teluk Cenderawasih NP,2,360,,995,1,,,,
Kaimana MPA,3,360,,2,1,,,,
Kofiau dan Pulau  Boo MPA,4,360,,1,1,,,,
Selat Dampier MPA,5,360,,1,1,,,,
Misool Selatan Timur MPA,6,360,,1,1,,,,
Buruway MPA (Kaimana),7,360,,2,1,,,,
Teluk Etna MPA (Kaimana),8,360,,2,1,,,,
Teluk Triton MPA (Kaimana),9,360,,2,1,,,,
Ayau-Asia MPA,10,360,,1,1,,,,
Kawe-Wayag MPA,11,360,,1,1,,,,
Abun MPA,12,360,,995,1,,,,
Penumu MCA,13,360,,1,1,,,,
SW Waigeo MPA,14,360,,1,1,,,,
Selat Pantar MPA,15,360,,995,2,,,,
Flores Timur MPA,16,360,,995,2,,,,
Kei Kecil MPA,17,360,,995,2,,,,
Koon MPA,18,360,,995,2,,,,
Yamdena MPA,19,360,,995,2,,,,
Sulawesi Tenggara MPA,20,360,,995,2,,,,
Wakatobi NP,21,360,,995,998,,,,
FIELD TEST,990,360,,998,998,,,,
